target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q00526_WT	Mean	-		0.075	0.8088888888888889	0.525	0.95	0.1	0.8416666666666666	0.2	0.8911764705882353	0.20535714285714285	0.7946428571428571
Q00526_WT	SD	-		0.2768038481856247	0.06891277960883335	0.10582020916000245	0.05590169943749475	0.1825741858350554	0.047844484010236325	0.3651483716701108	0.04102739119348218	0.09807891103145286	0.09807891103145286
Q00526_WT	Test set	22:30		0.044946657497549475	0.5769230769230769	0.5121212121212121	0.9333333333333333	0.09090909090909091	0.5833333333333334	0.5	0.7179487179487181	0.5196969696969698	0.4803030303030303
Q96SB4_WT		2:5	Not enough data in minority class of the training set for all 5 folds										
Q96SB4_WT	Fold 1	3:133		0.3975479400562285	0.9779411764705882	0.662907268170426	0.9924812030075187	0.3333333333333333	0.9850746268656716	0.5	0.9887640449438201	0.2380952380952381	0.7619047619047619
Q96SB4_WT	Fold 2	3:133		0.5730576425878945	0.9852941176470589	0.6666666666666666	1.0	0.3333333333333333	0.9851851851851852	1.0	0.9925373134328358	0.09774436090225565	0.9022556390977444
Q96SB4_WT	Fold 3	3:133		0.0	0.9779411764705882	0.5	1.0	0.0	0.9779411764705882	0.0	0.9888475836431226	0.030075187969924814	0.9699248120300752
Q96SB4_WT	Fold 4	4:132		-0.014982219165849825	0.9632352941176471	0.4962121212121212	0.9924242424242424	0.0	0.9703703703703703	0.0	0.9812734082397003	0.14204545454545453	0.8579545454545455
Q96SB4_WT	Fold 5	4:132		0.0	0.9705882352941176	0.5	1.0	0.0	0.9705882352941176	0.0	0.9850746268656716	0.3181818181818182	0.6818181818181819
Q96SB4_WT	Mean	-		0.19112467269565464	0.975	0.5651572112098427	0.9969810890863522	0.13333333333333333	0.9778319188371866	0.3	0.9872993954250301	0.16522841193893828	0.8347715880610618
Q96SB4_WT	SD	-		0.22510023348772643	0.006845215707729877	0.07427829759651673	0.0033752850629758047	0.14907119849998599	0.005981707387189186	0.3651483716701107	0.003493803722985791	0.09315064809439945	0.09315064809439945
Q96SB4_WT	Test set	2:5		0.0	0.7142857142857143	0.5	1.0	0.0	0.7142857142857143	0.0	0.8333333333333333	0.2	0.8
Q96RR4_WT	Fold 1	3:18		0.0	0.8571428571428571	0.5	1.0	0.0	0.8571428571428571	0.0	0.923076923076923	0.1851851851851852	0.8148148148148149
Q96RR4_WT	Fold 2	2:18		0.6882472016116853	0.95	0.75	1.0	0.5	0.9473684210526315	1.0	0.972972972972973	0.5	0.5
Q96RR4_WT	Fold 3	2:18		0.0	0.9	0.5	1.0	0.0	0.9	0.0	0.9473684210526316	0.38888888888888884	0.6111111111111112
Q96RR4_WT	Fold 4	2:18		-0.07647191129018725	0.85	0.4722222222222222	0.9444444444444444	0.0	0.8947368421052632	0.0	0.918918918918919	0.3055555555555556	0.6944444444444444
Q96RR4_WT	Fold 5	3:17		0.21568627450980393	0.8	0.6078431372549019	0.8823529411764706	0.3333333333333333	0.8823529411764706	0.3333333333333333	0.8823529411764706	0.33333333333333337	0.6666666666666667
Q96RR4_WT	Mean	-		0.16549231296626038	0.8714285714285713	0.5660130718954248	0.9653594771241831	0.16666666666666666	0.8963202122954446	0.26666666666666666	0.9289380354395835	0.34259259259259256	0.6574074074074074
Q96RR4_WT	SD	-		0.25466127977504915	0.046106944597707325	0.09408605890876233	0.04267595161478224	0.19245008972987526	0.026931757385689946	0.3548604316149181	0.027639528393530496	0.09412315235788213	0.09412315235788216
Q96RR4_WT	Test set	47:36		0.056552113099457534	0.4578313253012048	0.5147754137115839	0.9444444444444444	0.0851063829787234	0.44155844155844154	0.6666666666666666	0.6017699115044248	0.5195035460992907	0.48049645390070916
Q96RG2_WT		1:5	Not enough data in minority class of the training set for all 5 folds										
Q96RG2_WT	Fold 1	1:15		0.0	0.9375	0.5	1.0	0.0	0.9375	0.0	0.967741935483871	0.4	0.6
Q96RG2_WT	Fold 2	1:15		0.0	0.9375	0.5	1.0	0.0	0.9375	0.0	0.967741935483871	0.8666666666666667	0.13333333333333333
Q96RG2_WT	Fold 3	1:15		-0.06666666666666667	0.875	0.4666666666666667	0.9333333333333333	0.0	0.9333333333333333	0.0	0.9333333333333333	0.5333333333333333	0.4666666666666667
Q96RG2_WT	Fold 4	1:15		0.0	0.9375	0.5	1.0	0.0	0.9375	0.0	0.967741935483871	0.4	0.6
Q96RG2_WT	Fold 5	2:14		0.0	0.875	0.5	1.0	0.0	0.875	0.0	0.9333333333333333	0.7857142857142858	0.2142857142857143
Q96RG2_WT	Mean	-		-0.013333333333333332	0.9125	0.49333333333333335	0.9866666666666667	0.0	0.9241666666666667	0.0	0.953978494623656	0.5971428571428572	0.40285714285714286
Q96RG2_WT	SD	-		0.024343224778007384	0.02795084971874737	0.012171612389003689	0.024343224778007377	0.0	0.022489709580984747	0.0	0.015387994683869527	0.17795342796519933	0.17795342796519928
Q96RG2_WT	Test set	1:5		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.0	1.0
Q96PY6_WT		1:76	Not enough data in minority class for all 5 folds										
Q96PF2_WT	Fold 1	4:101		0.0	0.9619047619047619	0.5	1.0	0.0	0.9619047619047619	0.0	0.9805825242718447	0.25742574257425743	0.7425742574257426
Q96PF2_WT	Fold 2	4:101		-0.019514284806274117	0.9523809523809523	0.49504950495049505	0.9900990099009901	0.0	0.9615384615384616	0.0	0.975609756097561	0.0594059405940594	0.9405940594059405
Q96PF2_WT	Fold 3	4:101		-0.019514284806274117	0.9523809523809523	0.49504950495049505	0.9900990099009901	0.0	0.9615384615384616	0.0	0.975609756097561	0.26485148514851486	0.7351485148514851
Q96PF2_WT	Fold 4	3:101		0.5717174489413002	0.9807692307692307	0.6666666666666666	1.0	0.3333333333333333	0.9805825242718447	1.0	0.9901960784313726	0.10231023102310231	0.8976897689768977
Q96PF2_WT	Fold 5	3:101		0.0	0.9711538461538461	0.5	1.0	0.0	0.9711538461538461	0.0	0.9853658536585366	0.15511551155115513	0.8448844884488449
Q96PF2_WT	Mean	-		0.10653777586575039	0.9637179487179486	0.5313531353135313	0.996039603960396	0.06666666666666667	0.9673436110814752	0.2	0.9814727937113752	0.16782178217821783	0.8321782178217824
Q96PF2_WT	SD	-		0.21247390726661183	0.010053037754655816	0.061794952747379346	0.004427857381187706	0.12171612389003691	0.006913360453612047	0.36514837167011077	0.005176784907245282	0.07488974154443975	0.07488974154443974
Q96PF2_WT	Test set	7:7		0.0	0.5	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.4489795918367347	0.5510204081632654
Q96NX5_WT		4:51	Not enough data in minority class for all 5 folds										
Q96L34_WT	Fold 1	2:11		0.0	0.8461538461538461	0.5	1.0	0.0	0.8461538461538461	0.0	0.9166666666666666	0.5454545454545454	0.4545454545454546
Q96L34_WT	Fold 2	2:11		0.0	0.8461538461538461	0.5	1.0	0.0	0.8461538461538461	0.0	0.9166666666666666	0.36363636363636365	0.6363636363636364
Q96L34_WT	Fold 3	2:11		0.0	0.8461538461538461	0.5	1.0	0.0	0.8461538461538461	0.0	0.9166666666666666	0.2727272727272727	0.7272727272727273
Q96L34_WT	Fold 4	2:11		0.0	0.8461538461538461	0.5	1.0	0.0	0.8461538461538461	0.0	0.9166666666666666	0.5454545454545454	0.45454545454545453
Q96L34_WT	Fold 5	3:10		0.0	0.7692307692307693	0.5	1.0	0.0	0.7692307692307693	0.0	0.8695652173913044	0.3666666666666667	0.6333333333333333
Q96L34_WT	Mean	-		0.0	0.8307692307692308	0.5	1.0	0.0	0.8307692307692308	0.0	0.9072463768115941	0.41878787878787876	0.5812121212121212
Q96L34_WT	SD	-		0.0	0.028088336282316193	0.0	0.0	0.0	0.028088336282316193	0.0	0.017199017506200825	0.09931507095113394	0.09931507095113395
Q96L34_WT	Test set	13:36		0.10965816714070276	0.7346938775510204	0.5245726495726496	0.9722222222222222	0.07692307692307693	0.7446808510638298	0.5	0.8433734939759036	0.4700854700854701	0.5299145299145299
Q96KB5_WT		3:0	Only one activity class in traing set for temporal split at 2013										
Q96D53_WT		0:2	Only one activity class in traing set for temporal split at 2013										
Q86YV6_WT		0:2	Only one activity class in traing set for temporal split at 2013										
Q86V86_WT	Fold 1	25:126		0.7720681185570565	0.9403973509933775	0.852063492063492	0.9841269841269841	0.72	0.9465648854961832	0.9	0.9649805447470817	0.05999999999999999	0.94
Q86V86_WT	Fold 2	26:125		0.7014965128952729	0.9205298013245033	0.8149230769230769	0.976	0.6538461538461539	0.9312977099236641	0.85	0.953125	0.07384615384615383	0.9261538461538462
Q86V86_WT	Fold 3	26:125		0.6497495791155045	0.9072847682119205	0.7916923076923077	0.968	0.6153846153846154	0.9236641221374046	0.8	0.9453124999999999	0.09692307692307692	0.9030769230769231
Q86V86_WT	Fold 4	26:125		0.6463289023872056	0.9006622516556292	0.8181538461538461	0.944	0.6923076923076923	0.9365079365079365	0.72	0.9402390438247011	0.10030769230769229	0.8996923076923077
Q86V86_WT	Fold 5	26:125		0.6203161877136055	0.9006622516556292	0.7724615384615384	0.968	0.5769230769230769	0.9166666666666666	0.7894736842105263	0.9416342412451363	0.10800000000000001	0.892
Q86V86_WT	Mean	-		0.6779918601337289	0.9139072847682119	0.8098588522588523	0.9680253968253968	0.6516923076923076	0.9309402641463711	0.8118947368421052	0.9490582659633839	0.0878153846153846	0.9121846153846154
Q86V86_WT	SD	-		0.049209524179534815	0.01378586754613333	0.02450941090326365	0.012247968484870577	0.04695543230845779	0.00941570817731131	0.055231904278513176	0.008336494788892548	0.016407627994632756	0.016407627994632742
Q86V86_WT	Test set	572:81		-0.18362321812026938	0.12557427258805512	0.45318570318570317	0.8888888888888888	0.017482517482517484	0.11356466876971609	0.5263157894736842	0.2013986013986014	0.522144522144522	0.4778554778554778
Q86UX6_WT		2:41	Not enough data in minority class for all 5 folds										
Q86UE8_WT		3:45	Not enough data in minority class for all 5 folds										
Q59H18_WT	Fold 1	2:9		-0.14907119849998599	0.7272727272727273	0.4444444444444444	0.8888888888888888	0.0	0.8	0.0	0.8421052631578948	0.2222222222222222	0.7777777777777777
Q59H18_WT	Fold 2	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.0	1.0
Q59H18_WT	Fold 3	3:8		0.0	0.7272727272727273	0.5	1.0	0.0	0.7272727272727273	0.0	0.8421052631578948	0.25	0.75
Q59H18_WT	Fold 4	2:8		-0.16666666666666666	0.7	0.4375	0.875	0.0	0.7777777777777778	0.0	0.823529411764706	0.4375	0.5625
Q59H18_WT	Fold 5	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.90625	0.09375
Q59H18_WT	Mean	-		0.07101650561665687	0.7727272727272727	0.5263888888888889	0.9527777777777778	0.1	0.8010101010101011	0.2	0.8687994496044033	0.3631944444444445	0.6368055555555555
Q59H18_WT	SD	-		0.2813015225844553	0.06923430096239916	0.10488946759099617	0.05294806835368815	0.1825741858350554	0.05128024609695872	0.3651483716701108	0.040929216034692344	0.2783963021105104	0.2783963021105104
Q59H18_WT	Test set	111:39		0.04855988839306907	0.26666666666666666	0.5045045045045045	1.0	0.009009009009009009	0.26174496644295303	1.0	0.41489361702127664	0.42504042504042505	0.574959574959575
Q52WX2_WT		6:18	Number of points 24 < 30										
Q32MK0_WT	Fold 1	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.3055555555555556	0.6944444444444444
Q32MK0_WT	Fold 2	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.2222222222222222	0.7777777777777778
Q32MK0_WT	Fold 3	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.3888888888888889	0.6111111111111112
Q32MK0_WT	Fold 4	3:8		0.769800358919501	0.9090909090909091	0.8333333333333333	1.0	0.6666666666666666	0.8888888888888888	1.0	0.9411764705882353	0.04166666666666667	0.9583333333333334
Q32MK0_WT	Fold 5	2:8		0.375	0.8	0.6875	0.875	0.5	0.875	0.5	0.875	0.125	0.875
Q32MK0_WT	Mean	-		0.36312415043388757	0.850909090909091	0.6541666666666666	0.975	0.3333333333333333	0.8600505050505051	0.5	0.9127089783281734	0.2166666666666667	0.7833333333333334
Q32MK0_WT	SD	-		0.295500098547905	0.043787616650153766	0.12242722706132783	0.04564354645876384	0.2545875386086578	0.03203403348677505	0.408248290463863	0.02502225140547674	0.11300469781559996	0.11300469781559995
Q32MK0_WT	Test set	7:6		-0.31180478223116176	0.38461538461538464	0.4166666666666667	0.8333333333333334	0.0	0.4166666666666667	0.0	0.5555555555555556	0.5	0.5
Q9Y616_WT		5:50	Not enough data in minority class of the training set for all 5 folds										
Q9Y463_WT	Fold 1	14:78		0.3349607822478682	0.8586956521739131	0.6236263736263736	0.9615384615384616	0.2857142857142857	0.8823529411764706	0.5714285714285714	0.920245398773006	0.20054945054945056	0.7994505494505494
Q9Y463_WT	Fold 2	14:78		0.40624056564338124	0.8695652173913043	0.6593406593406593	0.9615384615384616	0.35714285714285715	0.8928571428571429	0.625	0.9259259259259259	0.18772893772893773	0.8122710622710623
Q9Y463_WT	Fold 3	14:77		0.3515615246553262	0.8681318681318682	0.5714285714285714	1.0	0.14285714285714285	0.8651685393258427	1.0	0.927710843373494	0.26252319109461963	0.7374768089053804
Q9Y463_WT	Fold 4	14:77		0.3341054755153317	0.8571428571428571	0.6233766233766234	0.961038961038961	0.2857142857142857	0.8809523809523809	0.5714285714285714	0.9192546583850931	0.23283858998144713	0.7671614100185529
Q9Y463_WT	Fold 5	14:77		0.29816209391784104	0.8571428571428571	0.5941558441558441	0.974025974025974	0.21428571428571427	0.872093023255814	0.6	0.9202453987730062	0.25046382189239336	0.7495361781076066
Q9Y463_WT	Mean	-		0.34500608839594965	0.86213569039656	0.6143856143856143	0.9716283716283718	0.25714285714285706	0.8786848055135301	0.6735714285714285	0.9226764450461051	0.22682079824936968	0.7731792017506305
Q9Y463_WT	SD	-		0.032162934940092695	0.005047155132198645	0.0272082618705383	0.0137018610754819	0.06649638116080449	0.008617746306153563	0.1501076711070093	0.0031472974762620696	0.026103079346157434	0.02610307934615742
Q9Y463_WT	Test set	156:131		-0.036757478188541644	0.4529616724738676	0.4912898806028577	0.9312977099236641	0.05128205128205128	0.45185185185185184	0.47058823529411764	0.6084788029925188	0.5569093756116656	0.4430906243883343
Q9Y243_WT	Fold 1	16:173		0.7352720584926372	0.9629629629629629	0.78125	1.0	0.5625	0.9611111111111111	1.0	0.9801699716713881	0.020231213872832367	0.9797687861271677
Q9Y243_WT	Fold 2	16:173		0.7782365095261714	0.9682539682539683	0.8408598265895953	0.9942196531791907	0.6875	0.9717514124293786	0.9166666666666666	0.9828571428571428	0.07478323699421965	0.9252167630057804
Q9Y243_WT	Fold 3	15:173		0.8950932445707703	0.9840425531914894	0.9608863198458575	0.9884393063583815	0.9333333333333333	0.9941860465116279	0.875	0.991304347826087	0.026589595375722537	0.9734104046242775
Q9Y243_WT	Fold 4	15:173		0.7261616066997643	0.9627659574468085	0.8275529865125241	0.9884393063583815	0.6666666666666666	0.9715909090909091	0.8333333333333334	0.979942693409742	0.08516377649325624	0.9148362235067437
Q9Y243_WT	Fold 5	15:173		0.824743106619556	0.973404255319149	0.9246628131021195	0.9826589595375722	0.8666666666666667	0.9883720930232558	0.8125	0.9855072463768114	0.013872832369942193	0.9861271676300578
Q9Y243_WT	Mean	-		0.7919013051817798	0.9702859394348756	0.8670423892100192	0.9907514450867051	0.7433333333333334	0.9774023144332565	0.8875	0.9839562804282342	0.044128131021194596	0.9558718689788053
Q9Y243_WT	SD	-		0.056924608700067825	0.007225802566633982	0.06018315119121813	0.005381210036134472	0.12450364415312272	0.011053944514562333	0.06085806194501846	0.003830855170289362	0.02713455883735041	0.027134558837350446
Q9Y243_WT	Test set	27:15		0.5827486247053352	0.7857142857142857	0.8037037037037037	0.8666666666666667	0.7407407407407407	0.65	0.9090909090909091	0.7428571428571429	0.1283950617283951	0.871604938271605
Q9Y6R4_WT		4:52	Not enough data in minority class of the training set for all 5 folds										
Q9Y6M4_WT		5:28	Not enough data in minority class of the training set for all 5 folds										
Q9Y6M4_WT	Fold 1	6:113		0.26863401435532774	0.9495798319327731	0.5789085545722714	0.9911504424778761	0.16666666666666666	0.9572649572649573	0.5	0.9739130434782609	0.2699115044247788	0.7300884955752213
Q9Y6M4_WT	Fold 2	5:113		0.2983015700105104	0.9576271186440678	0.595575221238938	0.9911504424778761	0.2	0.9655172413793104	0.5	0.9781659388646289	0.05663716814159292	0.9433628318584071
Q9Y6M4_WT	Fold 3	6:112		0.3994297930101854	0.9576271186440678	0.5833333333333334	1.0	0.16666666666666666	0.9572649572649573	1.0	0.9781659388646288	0.05654761904761905	0.943452380952381
Q9Y6M4_WT	Fold 4	6:112		0.26845854761921695	0.9491525423728814	0.5788690476190477	0.9910714285714286	0.16666666666666666	0.9568965517241379	0.5	0.9736842105263158	0.14732142857142855	0.8526785714285715
Q9Y6M4_WT	Fold 5	6:112		0.0	0.9491525423728814	0.5	1.0	0.0	0.9491525423728814	0.0	0.9739130434782608	0.2842261904761905	0.7157738095238095
Q9Y6M4_WT	Mean	-		0.2469647849990481	0.9526278307933342	0.5673372313527182	0.9946744627054361	0.13999999999999999	0.9572192500012487	0.5	0.9755684350424192	0.16292878213232198	0.8370712178676781
Q9Y6M4_WT	SD	-		0.1209711994134985	0.0037289702397497082	0.031236838255201557	0.003969508513886602	0.0649786289653931	0.004726463536265907	0.28867513459481287	0.0019375670612585896	0.09038511371646252	0.09038511371646252
Q9Y6M4_WT	Test set	5:28		0.0	0.8484848484848485	0.5	1.0	0.0	0.8484848484848485	0.0	0.9180327868852458	0.5	0.49999999999999994
Q9Y6E0_WT		6:1	Not enough data in minority class of the training set for all 5 folds										
Q9Y6E0_WT	Fold 1	1:9		0.0	0.9	0.5	1.0	0.0	0.9	0.0	0.9473684210526316	0.7777777777777778	0.2222222222222222
Q9Y6E0_WT	Fold 2	1:9		-0.16666666666666666	0.7	0.3888888888888889	0.7777777777777778	0.0	0.875	0.0	0.823529411764706	0.3333333333333333	0.6666666666666666
Q9Y6E0_WT	Fold 3	1:9		0.0	0.9	0.5	1.0	0.0	0.9	0.0	0.9473684210526316	0.1111111111111111	0.8888888888888888
Q9Y6E0_WT	Fold 4	2:8		-0.16666666666666666	0.7	0.4375	0.875	0.0	0.7777777777777778	0.0	0.823529411764706	0.5625	0.4375
Q9Y6E0_WT	Fold 5	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.375	0.625
Q9Y6E0_WT	Mean	-		-0.06666666666666667	0.8	0.4652777777777778	0.9305555555555556	0.0	0.8505555555555555	0.0	0.8861369109047128	0.43194444444444446	0.5680555555555555
Q9Y6E0_WT	SD	-		0.07453559924999299	0.08164965809277262	0.04127906134288659	0.08255812268577319	0.0	0.04715136295810105	0.0	0.050572665459295105	0.20516103280768513	0.2051610328076851
Q9Y6E0_WT	Test set	6:1		0.0	0.14285714285714285	0.5	1.0	0.0	0.14285714285714285	0.0	0.25	0.6666666666666667	0.33333333333333337
Q9Y5S2_WT		2:49	Not enough data in minority class of the training set for all 5 folds										
Q9Y4K4_WT	Fold 1	32:116		0.5955269674309321	0.8716216216216216	0.7710129310344828	0.9482758620689655	0.59375	0.8943089430894309	0.76	0.9205020920502092	0.0980603448275862	0.9019396551724137
